"id","chart_id","first_name","middle_name","last_name","nick_name","date_of_birth","gender","social_security_number","race","ethnicity","preferred_language","patient_photo","patient_photo_date","patient_payment_profile","patient_status","home_phone","cell_phone","office_phone","email","address","city","state","zip_code","emergency_contact_name","emergency_contact_phone","emergency_contact_relation","employer","employer_address","employer_city","employer_state","employer_zip_code","disable_sms_messages","timezone","doctor","primary_care_physician","date_of_first_appointment","date_of_last_appointment","offices","default_pharmacy","referring_source","copay","responsible_party_name","responsible_party_relation","responsible_party_phone","responsible_party_email","primary_responsible_party_address","additional_responsible_party","preferred_pharmacies","updated_at","created_at"
122246207,"SMAM000001","Amy",,"Smith","","1952-09-02","Female","525-35-4545","white","not_hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/2018/07/a9db5a9a-52bf-4470-9160-cda52b9d6757.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=170bb384e328b64ce92353c60cf7773a668233b4b7a0fbdd80112d58b8ecd4b5",,"Cash","A","(555) 555-1234","(555) 555-1234","(555) 555-1234","","123 Example Street","Sample City","California","55555","","",,"","","","","",false,"US/Eastern",504692,"","2013-07-15","2024-08-12","[532165]","",,"",,,,,"[]","[]","[]","2024-08-13T06:12:37","2024-08-07T19:19:36"
122246208,"MADE000001","Dennis",,"Martin","","1996-09-10","Male","141-41-1213","indian","hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/b3217fb0-840b-4266-9a3c-6b5757354002.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=995d01eae6b767ddb48995f4b6afcaab92bd5a426598e0fe5838ee3952cfaaf5",,"Cash","A","(555) 555-1234","(555) 555-1234","","","123 Example Street","Sample City","California","55555","","",,"DrChrono","328 Gibraltar Dr","Sunnyvale","CA","94089",false,"US/Eastern",504692,"","2024-08-07","2024-08-07","[532165]","",,"",,,,,"[]","[]","[]","2024-08-07T19:19:37","2024-08-07T19:19:37"
122246209,"GEEV000001","Eva",,"Genmark","","1989-09-12","Female","123-12-3123","white","not_hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/3aca2138-11e1-4326-a119-a8ebb015cfa4.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=e2a883e5719b79d01fbf4985c46bfd1a7a5aa3f09a2197a8c8d51122466cc9ad",,"Cash","A","(555) 555-1234","(555) 555-1234","","","123 Example Street","Sample City","California","55555","","",,"DrChrono","328 Gibraltar Dr.","Sunnyvale","CA","94089",true,"US/Eastern",504692,"",,"2024-08-11","[532165]","",,"",,,,,"[]","[]","[]","2024-08-13T06:12:49","2024-08-07T19:19:38"
122246210,"JAEV000001","Evan",,"James","","2011-09-22","Male","323-23-2311","white","hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/73683c1d-a1b3-4f4f-8cfe-9501a5ee88bd.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=1360378194d0b7e00ab050b6e039bf539e7582f662b0614c3484fd7b5debb9f1",,"Cash","A","(555) 555-1234","","","","123 Example Street","Sample City","California","55555","Edward James","(555) 555-1234","Father","","","","","",false,"US/Eastern",504692,"","2013-06-04","2024-08-11","[532165]","",,"","James Edward","Father","650 215-6343",,"[]","[]","[]","2024-08-12T06:14:28","2024-08-07T19:19:39"
122246211,"GECH000001","Chris",,"Genning","","1979-09-20","Male","838-38-4948","white","hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/76aa4814-5b7d-4609-bfd5-46a5479c2b7e.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=fe946483ae298a4f01e8cc8e83f19011ac2fb31a87719aaf2862ba4ee290fd6f",,"Cash","A","(555) 555-1234","(555) 555-1234","(555) 555-1234","","123 Example Street","Sample City","California","55555","","",,"DrChrono","328 Gibraltar Dr.","Sunnyvale","CA","94089",true,"US/Eastern",504692,"","2024-08-08","2024-08-14","[532165]","",,"",,,,,"[]","[]","[]","2024-08-15T07:45:03","2024-08-07T19:19:40"
122246212,"MOCR000001","Cesar",,"Morales","","1998-07-17","Male","515-84-8753","indian","hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/2017/05/8e148d3b-aee8-4fa8-8ffd-4a60d2578ba1.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=7c3ab89e84b26288256f563becd7e2139e03685bbddf59037ac6909a1ddb50b1",,"Cash","A","(555) 555-1234","(555) 555-1234","","","123 Example Street","Sample City","California","55555","","",,"","","","","",false,"US/Eastern",504692,"",,"2024-08-10","[532165]","",,"",,,,,"[]","[]","[]","2024-08-12T06:19:52","2024-08-07T19:19:41"
122246214,"HAMI000005","Michelle",,"Harris","","1999-10-14","Female","123-12-3125","white","not_hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/2018/07/c4334844-a100-4b2b-9ef4-2e0328790dd8.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=169a3aa11202b8e4288d0568f21b14b43bed7677988ad5e973294f6521f9b7d7",,"Cash","A","(555) 555-1234","(555) 555-1234","","","123 Example Street","Sample City","California","55555","","",,"","","","","",false,"US/Eastern",504692,"","2024-08-07","2024-08-12","[532165]","",,"",,,,,"[]","[]","[]","2024-08-13T06:07:41","2024-08-07T19:19:41"
122246217,"HUMA000001","Matt",,"Hughes","","1946-06-26","Male","443-32-2211","white","not_hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/51d176c2-9df1-4c47-a232-f09a40a9d6cb.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=b88794638201dde1ee9186d760e50f0d2b6adbb1affa1d0aacd77fe6404a31c0",,"Cash","A","(555) 555-1234","(555) 555-1234","","","123 Example Street","Sample City","California","55555","","",,"","","","","",true,"US/Eastern",504692,"",,"2024-08-14","[532165]","",,"",,,,,"[]","[]","[]","2024-08-15T07:48:24","2024-08-07T19:19:42"
122246218,"HUAL000001","Alexis",,"Wu","","1969-11-17","Female","333-22-2111","asian","not_hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/2018/07/ff4dff3f-39ed-49ce-801f-b881925f282d.png?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=28bbf40b1bcf3059a945e0572d706f73fb527a1c857bc98e69e52bdcd41016b6",,"Cash","A","(555) 555-1234","(555) 555-1234","(555) 555-1234","","123 Example Street","Sample City","California","55555","","",,"DrChrono","328 Gibraltar Dr.","Sunnyvale","CA","94089",false,"US/Eastern",504692,"","2013-07-15","2024-08-08","[532165]","",,"",,,,,"[]","[]","[]","2024-08-10T07:03:03","2024-08-07T19:19:42"
122246219,"HAJE000001","Jenny",,"Harris","Jen","1980-02-11","Female","111-11-1111","white","not_hispanic","eng","https://drchrono-uploaded-media-production.s3.amazonaws.com/patient_photos/5d18eb8c-5a01-4421-ac6f-66ebc42b124d.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Expires=3600&X-Amz-Credential=AKIARFDV6UGLMNLVYHX5%2F20240816%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-SignedHeaders=host&X-Amz-Date=20240816T143436Z&X-Amz-Signature=857a05507045a8c41cce55a57b117ed1e545ff186d05defb0814122a4ae5c432","2014-01-22","Cash","A","(555) 555-1234","(555) 555-1234","","jenny.adele.harris@gmail.com","123 Example Street","Sample City","California","55555","Edward Harris","(555) 555-1234","Husband","Apple","1 Infinite Loop","Cupertino","CA","95014",true,"US/Eastern",504692,"","2024-08-07","2024-08-13","[532165]","",,"20","Edward","Husband","516-232-2325","daniel+edward@drchrono.com","[]","[]","[]","2024-08-14T06:11:17","2024-08-07T19:19:43"
