Filename,Original Phrase,Rearranged Phrase,Target Word,Reversed,Position,Hamming Distance,Context,Original Window,Variation Window,Similarity,Token
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,2,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,the pulses pedal normal documented Dr. Bridges exertion. with heavy,0.7639978,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,2,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,the pulses with normal documented Dr. Bridges exertion. heavy pedal,0.75205564,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,3,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,exertion. the pedal normal documented Dr. Bridges pulses heavy with,0.76011264,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,3,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,pedal the pulses normal documented Dr. Bridges exertion. heavy with,0.79069626,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,4,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,heavy with pedal normal documented Dr. Bridges exertion. the pulses,0.78582644,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,4,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,heavy exertion. pedal normal documented Dr. Bridges the pulses with,0.7406486,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,5,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,pedal heavy pulses normal documented Dr. Bridges exertion. with the,0.77303916,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,5,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,pulses heavy the normal documented Dr. Bridges exertion. with pedal,0.77245253,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,6,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,heavy with exertion. normal documented Dr. Bridges pedal pulses the,0.8347019,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Bridges Dr. documented normal,Bridges,True,0,6,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,heavy with the normal documented Dr. Bridges pedal exertion. pulses,0.4020158,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,2,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,the pulses pedal normal documented Bridges Dr. exertion. with heavy,0.3246139,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,2,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,the pulses with normal documented Bridges Dr. exertion. heavy pedal,0.32719922,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,3,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,exertion. the pedal normal documented Bridges Dr. pulses heavy with,0.324427,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,3,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,pedal the pulses normal documented Bridges Dr. exertion. heavy with,0.3317897,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,4,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,heavy with pedal normal documented Bridges Dr. exertion. the pulses,0.3535147,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,4,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,heavy exertion. pedal normal documented Bridges Dr. the pulses with,0.37208408,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,5,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,pedal heavy pulses normal documented Bridges Dr. exertion. with the,0.3275502,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,5,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,pulses heavy the normal documented Bridges Dr. exertion. with pedal,0.3307622,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,6,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,heavy with exertion. normal documented Bridges Dr. pedal pulses the,0.35400975,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. Bridges documented normal,Bridges,True,1,6,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,heavy with the normal documented Bridges Dr. pedal exertion. pulses,0.3300765,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. documented Bridges normal,Bridges,True,2,2,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,the pulses pedal normal Bridges documented Dr. exertion. with heavy,0.44318193,['bridges']
Note_1_short.txt,Dr. Bridges documented normal,Dr. documented Bridges normal,Bridges,True,2,2,with heavy exertion. pedal pulses the,with heavy exertion. Dr. Bridges documented normal pedal pulses the,the pulses with normal Bridges documented Dr. exertion. heavy pedal,0.37377912,['bridges']
